2050250,2050250,0,tip.name.milestone_512,,3,페이트 50층,600,649,11102,5695 _ -22567 _ 3759,tip.name.milestone_zone_512,2100006,0,0,101062,101241,101201,101211,101181,1,50,0,19,4,1,3,1,0,4,1,0,15,20501,45,5,600,0,0,0,0,0,0,0,0,0,0
103006,103006,0,tip.name.milestone_406,,6,혼재의 추오,525,624,10723,-11662 _ 13752 _ 1680,tip.name.milestone_zone_406,1406000,0,0,101062,101101,101081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,0,tip.name.calendar_test_05,,0,캐릭터 레벨 제한 30,200,600,0,,,1501000,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101,0,tip.name.calendar_test_06,,0,아이템 레벨 재한 350,200,600,0,,,1501000,0,0,0,0,0,0,0,17,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,0,tip.name.calendar_test_07,,0,"캐릭터레벨 30, 아이템레벨 300",200,600,0,,,1501000,0,0,0,0,0,0,0,1,30,0,17,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,0,tip.name.calendar_test_08,,0,"캐릭터레벨 30, 아이템레벨 350",200,600,0,,,1501000,0,0,0,0,0,0,0,1,30,0,17,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,0,tip.name.calendar_test_09,,0,"캐릭터레벨 50, 아이템레벨 400",200,600,0,,,1501000,0,0,0,0,0,0,0,1,50,0,17,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,0,tip.name.calendar_test_10,,0,"캐릭터레벨 50, 아이템레벨 450",200,600,0,,,1501000,0,0,0,0,0,0,0,1,50,0,17,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,114,0,tip.name.calendar_test_19,,0,보상 없음,200,600,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,115,0,tip.name.calendar_test_20,,0,보상 6개 미만,200,600,0,,,600001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,0,tip.name.calendar_test_21,,0,보상 6개,200,600,0,,,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
